cpf,idade,renda_anual,estados,sexo
608.724.159-02,23,60290,Rio Grande do Sul,Masculino
912.358.607-95,24,314976,Rio Grande do Norte,Feminino
921.457.380-88,20,424966,Goiás,Masculino
642.780.591-67,21,337459,Rio de Janeiro,Feminino
963.782.015-95,21,91691,Rio de Janeiro,Masculino
045.198.762-49,24,97636,Mato Grosso,Feminino
186.453.029-42,51,405875,Amapá,Feminino
381.294.750-14,30,24124,Sergipe,Feminino
682.130.547-17,32,449863,Rio de Janeiro,Feminino
764.103.529-99,25,62612,São Paulo,Masculino
279.813.405-60,37,388887,São Paulo,Feminino
796.138.045-01,24,460436,Mato Grosso do Sul,Feminino
045.291.736-07,29,140430,Minas Gerais,Feminino
548.306.972-29,48,136534,Pará,Masculino
601.729.483-04,39,427120,Rio de Janeiro,Feminino
784.296.501-30,34,300651,Paraíba,Masculino
023.968.754-00,25,188680,Rio Grande do Norte,Masculino
508.291.376-02,38,315302,Alagoas,Masculino
632.049.185-05,32,442025,Rio Grande do Norte,Masculino
203.591.748-41,25,42368,Distrito Federal,Masculino
342.160.578-53,39,457803,Maranhão,Feminino
975.364.280-65,31,236827,Paraíba,Feminino
620.435.718-26,31,359180,Mato Grosso do Sul,Masculino
307.154.296-80,28,377158,Sergipe,Masculino
630.548.279-92,25,264536,Rio Grande do Sul,Feminino
190.563.824-89,24,147180,Amazonas,Feminino
958.361.402-51,36,61390,Mato Grosso,Masculino
138.270.456-90,25,417521,Rio Grande do Sul,Masculino
624.095.137-43,33,206168,Mato Grosso do Sul,Feminino
862.950.713-68,34,316944,Rio de Janeiro,Feminino
261.783.945-19,30,325926,Sergipe,Feminino
268.193.047-22,31,348327,Distrito Federal,Feminino
481.739.652-00,40,361033,Minas Gerais,Feminino
102.384.596-24,22,147750,Rio de Janeiro,Masculino
341.906.278-87,37,95053,Ceará,Feminino
103.482.675-17,39,462424,Espírito Santo,Feminino
493.825.160-42,22,208201,Espírito Santo,Masculino
209.835.647-10,33,49706,Santa Catarina,Feminino
392.467.508-29,21,87191,Amapá,Feminino
047.529.861-67,21,148619,São Paulo,Feminino
350.894.721-14,25,176571,Goiás,Masculino
478.659.230-74,34,219837,Rio Grande do Norte,Feminino
479.358.106-48,26,319791,São Paulo,Feminino
548.361.209-42,21,224787,Maranhão,Masculino
286.750.193-86,18,388414,Amazonas,Feminino
120.579.368-21,22,104690,Espírito Santo,Feminino
805.943.617-10,35,260591,Minas Gerais,Masculino
215.479.603-61,32,456328,Goiás,Feminino
783.642.501-08,24,424199,Rio de Janeiro,Masculino
367.250.198-03,26,98118,Rio de Janeiro,Feminino
467.251.830-26,24,427097,Tocantins,Masculino
547.216.098-76,33,102614,Rio Grande do Sul,Feminino
536.849.012-70,23,255139,São Paulo,Masculino
970.564.832-83,27,29887,São Paulo,Feminino
829.640.531-89,24,82342,Espírito Santo,Feminino
965.724.018-20,32,68948,Distrito Federal,Feminino
657.089.213-40,23,95395,Rio de Janeiro,Feminino
481.692.350-06,26,372812,Distrito Federal,Feminino
810.526.437-44,22,290013,Pará,Masculino
245.879.106-94,26,331900,Rio de Janeiro,Feminino
947.085.216-85,23,471707,Pernambuco,Feminino
590.862.173-03,19,237622,Rondônia,Feminino
149.732.580-32,25,145005,Amazonas,Feminino
158.074.632-26,31,156928,Distrito Federal,Feminino
987.561.034-84,39,87331,Amapá,Feminino
392.506.781-77,23,453318,Pará,Feminino
403.921.587-79,29,250086,Distrito Federal,Feminino
238.570.916-30,24,155080,Santa Catarina,Feminino
614.932.087-13,23,42250,Distrito Federal,Feminino
217.450.983-05,20,320013,Distrito Federal,Feminino
794.056.318-10,22,306947,São Paulo,Feminino
417.520.836-44,36,281570,Rondônia,Feminino
942.536.871-64,47,303994,Minas Gerais,Masculino
562.194.807-67,49,71221,Alagoas,Feminino
708.629.351-21,30,156252,Mato Grosso do Sul,Feminino
708.695.231-12,31,153988,Minas Gerais,Masculino
318.756.049-01,23,344563,Minas Gerais,Masculino
679.084.135-01,24,177682,Goiás,Feminino
406.325.918-89,30,25210,Rio de Janeiro,Feminino
810.593.762-02,28,214252,São Paulo,Masculino
473.592.861-82,50,447752,Mato Grosso do Sul,Feminino
140.973.682-22,23,251460,Distrito Federal,Feminino
305.947.186-00,52,342143,Pernambuco,Feminino
104.623.597-43,24,29089,Tocantins,Feminino
589.431.607-39,51,228315,Sergipe,Masculino
179.062.834-22,50,301640,São Paulo,Feminino
752.834.610-17,34,190169,Rio Grande do Sul,Masculino
405.189.736-20,40,322021,Sergipe,Feminino
736.451.280-26,24,455145,Ceará,Masculino
385.192.467-37,37,419792,Tocantins,Masculino
126.374.590-34,25,261907,Distrito Federal,Feminino
605.718.329-03,33,188856,São Paulo,Feminino
904.516.387-00,18,277735,Paraná,Masculino
392.076.145-61,30,304167,Sergipe,Masculino
547.031.629-70,25,219235,Rondônia,Feminino
204.639.817-31,39,177663,Mato Grosso do Sul,Feminino
654.739.210-43,46,87810,Rio de Janeiro,Masculino
928.756.304-74,24,233151,Paraná,Feminino
032.514.869-42,40,277514,Amapá,Masculino
201.578.396-21,24,221961,Espírito Santo,Feminino
539.286.104-06,29,336501,Mato Grosso do Sul,Feminino
534.672.190-80,23,130600,Ceará,Masculino
